,id,title,keys,normalised_text,imdb_id
41,674,Harry Potter and the Goblet of Fire,adventur  fantasi witch  dying and death  based on novel or book  magic  boarding school  world cup  maze  mermaid  school of witchcraft  black mag  chosen on  vision  school  tournament  dragon  wizard  teenage hero  christma  based on young adult novel  wizarding world,harry potter and the goblet of fire,tt0330373
42,22,Pirates of the Caribbean: The Curse of the Black Pearl,adventur  fantasi  action blacksmith  east india compani  gold  exotic island  governor  skeleton  jamaica  british empir  pirat  swashbuckl  18th centuri  caribbean sea  aftercreditssting  pirate ship  british navi  tortuga  based on theme park rid,pirates of the caribbean the curse of the black pearl,tt0325980
43,12445,Harry Potter and the Deathly Hallows: Part 2,fantasi  adventur witch  dying and death  saving the world  self sacrific  magic  school of witchcraft  sorcer  school  battl  wizard  teenage hero  christma  based on young adult novel  good versus evil  wizarding world,harry potter and the deathly hallows part 2,tt1201607
44,11,Star Wars,adventur  action  science fict empir  galaxi  rebellion  android  hermit  smuggling (contraband)  freedom  rebel  rescue miss  space  planet  desert  super pow  oppress  space opera  wizard  totalitarian,star wars,tt0076759
45,297762,Wonder Woman,action  adventur  fantasi island  hero  strong woman  world war i  empower  superhero  femin  greek mytholog  based on com  female protagonist  period drama  super pow  heroin  woman director  female empower  1910  dc extended universe (dceu),wonder woman,tt0451279
46,102899,Ant-Man,science fict  action  adventur superhero  ant  shrink  based on com  heist  miniatur  miniature peopl  aftercreditssting  duringcreditssting  marvel cinematic universe (mcu),antman,tt0478970
47,238,The Godfather,drama  crime based on novel or book  loss of loved on  love at first sight  itali  symbol  patriarch  europ  organized crim  mafia  religion  lawyer  revenge mot  crime famili  sicilian mafia  religious hypocrisi  gun viol  rise to pow  dead hors  gang viol  1940  1950  mafia war,the godfather,tt0068646
48,286217,The Martian,drama  adventur  science fict spacecraft  planet mar  based on novel or book  nasa  isol  botanist  alon  surviv  space  engin  strand  astronaut  struggle for surviv  duringcreditssting  deep spac  potato  2030,the martian,tt3659388
49,105,Back to the Future,adventur  comedi  science fict flying car  race against tim  clock tow  car rac  lightn  guitar  plutonium  inventor  journey in the past  invent  time travel  bulli  mad scientist  fish out of wat  terror  teenage lov  destini  hidden ident  love and rom  teenage lif  changing the past or futur  1950  tiempo  amus,back to the future,tt0088763
50,634649,Spider-Man: No Way Home,action  adventur  science fict new york c  hero  showdown  magic  loss of loved on  secret ident  superhero  villain  portal  sequel  vigilant  superhero team  alternate r  masked vigilant  spider web  aftercreditssting  duringcreditssting  marvel cinematic universe (mcu)  fight for justic  teen superhero  superhero teamup  returning hero  crossov  teamwork,spiderman no way home,tt10872600
51,675,Harry Potter and the Order of the Phoenix,adventur  fantasi witch  dying and death  court  magic  propheci  loss of loved on  professor  supernatur  child hero  school of witchcraft  black mag  sorceri  occult  wizard  christma  scholar  mystical land  ministri  based on young adult novel  wizarding world,harry potter and the order of the phoenix,tt0373889
52,767,Harry Potter and the Half-Blood Prince,adventur  fantasi witch  dying and death  london  england  magic  school of witchcraft  apparit  curs  teenage crush  school  werewolf  teenage lov  luck  wizard  secret past  christma  based on young adult novel  wizarding world,harry potter and the halfblood prince,tt0417741
53,263115,Logan,action  drama  science fict futur  experi  immort  self-destruct  cyborg  dystopia  superhero  mutant  road trip  based on com  sequel  super pow  neo-western  troubled past  aging superhero  life on the margin,logan,tt3315342
54,12,Finding Nemo,anim  famili sydney  australia  parent child relationship  anthropomorph  harbor  underwat  shark  pelican  fish tank  great barrier reef  sea turtl  missing child  aftercreditssting  duringcreditssting  short term memory loss  clownfish  father son reunion  protective fath,finding nemo,tt0266543
55,346364,It,horror  fantasi small town  based on novel or book  clown  bulli  abandoned hous  coming of ag  flashback  murder  balloon  main  school  creatur  fear  summer  killer  missing person  death of broth  well  child  demon  town histori  anxiou  intens,it,tt1396484
56,259316,Fantastic Beasts and Where to Find Them,fantasi  adventur  famili witch  new york c  robberi  escap  teleport  magic  suitcas  mistak  spin off  subway st  central park  wizard  goblin  magical creatur  1920  wizarding world,fantastic beasts and where to find them,tt3183660
57,12444,Harry Potter and the Deathly Hallows: Part 1,adventur  fantasi witch  friendship  london  england  corrupt  escap  teleport  isol  magic  braveri  radio  road trip  shelter  tension  attack  werewolf  road movi  wizard  christma  based on young adult novel  wizarding world,harry potter and the deathly hallows part 1,tt0926084
58,354912,Coco,famili  anim  fantasi  music  comedi  adventur skeleton  mexico  guitar  afterlif  musician  holiday  singer  life after death  child  day of the dead  pixar,coco,tt2380307
59,100402,Captain America: The Winter Soldier,action  adventur  science fict futur  washington dc  usa  superhero  shield  based on com  aftercreditssting  duringcreditssting  marvel cinematic universe (mcu)  political thril,captain america the winter soldier,tt1843866
60,557,Spider-Man,fantasi  action new york c  adolesc  photograph  loss of loved on  photographi  secret ident  hostil  superhero  spider  bad boss  villain  based on com  teenage boy  teenage lov  evil  super villain  taking respons,spiderman,tt0145487
61,210577,Gone Girl,mysteri  thriller  drama infidel  based on novel or book  wife  marriage crisi  investig  disappear  psychological thril  whodunit  missing person  search parti  criminal lawy  murder suspect  missing wif  perspect  manipulative woman  killed during sex  dramat  amus,gone girl,tt2267998
62,49051,The Hobbit: An Unexpected Journey,adventur  fantasi  action based on novel or book  orc  elv  dwarf  horseback rid  sword  burglar  legend  riddl  mountain  travel  troll  creatur  thunderstorm  fantasy world  wizard  epic battl  lost r  journey  goblin  tunnel  underground lak  buried treasur  invis  quest  frantic  good versus evil  backstori  epic fantasi  fantasy creatur  dwarv  epic quest,the hobbit an unexpected journey,tt0903624
63,585,"Monsters, Inc.",anim  comedi  famili monster  panic  cheat  kidnap  door  infant  villain  portal  rivalri  energy suppli  friend  hijink  best friend  chameleon  famili  parallel world  conveyor belt  invis  energy compani  conspir,monsters inc,tt0198781
64,862,Toy Story,anim  adventur  famili  comedi rescu  friendship  mission  martial art  jealousi  bulli  elementary school  rivalri  anthropomorph  friend  computer anim  buddi  walkie talki  toy car  boy next door  new toy  neighborhood  toy comes to lif  resourc,toy story,tt0114709
65,281957,The Revenant,western  drama  adventur rape  based on novel or book  parent child relationship  winter  child murd  mountain  grizzly bear  wilder  gore  native american  forest  based on true stori  liar  fur trap  frontier  remak  reveng  surviv  murder  bear  snow  scalp  natur  wild west  bear attack  indian attack  dead hors  starvat  19th centuri  wolv,the revenant,tt1663202
66,209112,Batman v Superman: Dawn of Justice,action  adventur  fantasi superhero  based on com  reveng  vigilant  leading man  super pow  question  philosoph  dc extended universe (dceu)  complex  man vs man  leading men  hero vs hero,batman v superman dawn of justice,tt2975590
67,8587,The Lion King,famili  anim  drama father murd  loss of loved on  africa  lion  manipul  redempt  music  uncl  murder  warthog  shaman  king  scar  famili  hyena  meerkat  natur  mandril  power,the lion king,tt0110357
68,98,Gladiator,action  drama  adventur epic  gladiat  rome  itali  arena  senat  roman empir  parent child relationship  emperor  slaveri  ancient rom  reveng  battlefield  slave auct  historical fict  ancient world  combat  chariot  philosoph  barbarian hord  2nd centuri  successor  commodu  maximu,gladiator,tt0172495
69,9806,The Incredibles,action  adventur  anim  famili island  hero  secret ident  superhero  wretch  cartoon  lawsuit  family relationship  super pow  1950  1960  superhero famili,the incredibles,tt0317705
70,329865,Arrival,drama  science fict  mysteri spacecraft  loss  time  alien  languag  female protagonist  scientist  heartbreak  based on short stori  militari  alien languag  linguist  first contact  commun  linguist  time-manipul  time manipul,arrival,tt2543164
71,496243,Parasite,comedi  thriller  drama dark comedi  private lesson  birthday parti  con artist  working class  psychological thril  class differ  housekeep  tutor  famili  crime famili  unemploy  satir  desper  wealthy famili  complex  south korea  seoul  south korea  critic  egotist  hilari  intens  baffl  callou  dubiou  farcic  mean spirit  straightforward  urgent,parasite,tt6751668
72,76338,Thor: The Dark World,action  adventur  fantasi superhero  based on com  hostile takeov  norse mytholog  aftercreditssting  duringcreditssting  marvel cinematic universe (mcu)  mythological plac,thor the dark world,tt1981115
73,1930,The Amazing Spider-Man,action  adventur  fantasi experi  loss of loved on  superhero  based on com  vigilant  teenage girl  violent death  teenage boy  super pow  spider bit  masked vigilant  reboot  genetic engin  social outcast  death of husband  duringcreditssting  viru  teen superhero  teenage angst  vigilante justic,the amazing spiderman,tt0948470
74,381288,Split,horror  thriller child abus  kidnap  gore  sequel  stalk  teenage girl  super pow  mental il  split person  multiple person  traumatic childhood  dissociative identity disord,split,tt4972582
75,694,The Shining,horror  thriller hotel  child abus  based on novel or book  isol  telepathi  delus  grave  snowstorm  colorado  seclus  surreal  alcohol  premonit  psychic pow  caretak  loneli  vision  domestic viol  postmodern  psychological thril  writer  electronic music scor  twin  labyrinth  cynic  alcohol  blizzard  mutil  bloody body of child  extrasensory percept  uxoricid  motherhood  filicid  snowed in  burial ground  hypothermia  haunted hotel  psychological disintegr  detach  paranoid  vex  afi  frantic  pediatrician  repetit  mother son relationship  malici  supernatural pow  anxiou  supernatural horror  ghost child  psychotronic film  writers-block  cabin fev  psychological horror  neg  deal with the devil  nuclear famili  avant gard  yosemite national park  egotist  twin sist  identical twin  arrog  assert  demean  enrag  frustrat  harsh  mean spirit  sardon,the shining,tt0081505
76,24,Kill Bill: Vol. 1,action  crime martial art  japan  kung fu  showdown  coma  sword  asia  yakuza  bride  sword fight  reveng  vigilant  female yakuza  animated scen  wed  samurai sword  eye patch  retribut,kill bill vol 1,tt0266697
77,101299,The Hunger Games: Catching Fire,adventur  action  science fict rebellion  based on novel or book  propaganda  dystopia  game  upris  sequel  presid  surviv  murder  conspiraci  female protagonist  tournament  based on young adult novel,the hunger games catching fire,tt1951264
78,77338,The Intouchables,drama  comedi friendship  male friendship  based on true stori  masseus  aristocrat  paraglid  interracial friendship  unlikely friendship  duringcreditssting  quadripleg  quadriplegia  love  feel good  intouch,the intouchables,tt1675434
79,419430,Get Out,mysteri  thriller  horror kidnap  externally controlled act  manipul  dark comedi  hypnosi  parents-in-law  satir  racist  reveng  interracial relationship  disappear  racism  psychological thril  neurosurgeon  missing person  stereotyp  brain surgeri  race-consci  pretenti,get out,tt5052448
80,205596,The Imitation Game,histori  drama  thriller  war england  homophobia  world war ii  mathematician  geniu  biographi  male homosexu  code break  lgbt  logician  cryptographi  math geniu  gay them  code,the imitation game,tt2084970
81,424694,Bohemian Rhapsody,music  drama  histori london  england  aid  musician  1970  queen  biographi  based on true stori  singer  hiv  male homosexu  fame  rock band  lgbt  1980  gay them  music movi,bohemian rhapsody,tt1727824
82,497,The Green Mile,fantasi  drama  crime mentally dis  based on novel or book  southern usa  psychopath  death row  jail guard  supernatur  great depress  prison guard  jail  electric chair  tortur  magic r  heal  1930  abuse of pow,the green mile,tt0120689
83,198663,The Maze Runner,action  mysteri  science fict  thriller based on novel or book  escap  dystopia  maze  post-apocalyptic futur  memory loss  erased memori  trap  runner  based on young adult novel,the maze runner,tt1790864
84,808,Shrek,anim  comedi  fantasi  adventur  famili princess  magic  fairy tal  donkey  liber  lordship  princ  castl  robin hood  enchant  swamp  parodi  anthropomorph  dragon  woman director  ogr  cartoon donkey  shrek cinematic univers,shrek,tt0126029
85,2062,Ratatouille,anim  comedi  famili  fantasi work  sibling relationship  pari  franc  expensive restaur  river  confid  evacu  mous  leaving one's famili  restaurant crit  spice  cookbook  food  chef  sewer  unlikely friendship  rat  french cuisin,ratatouille,tt0382932
86,313369,La La Land,comedi  drama  romanc  music danc  danc  jazz  music  ambit  cast  coffee shop  jazz club  traffic jam  hollywood  los angel  california  pianist  pier  audit  planetarium  aspiring actor  movie set  sunset  one woman show  pool parti  griffith observatori,la la land,tt3783958
87,109445,Frozen,anim  famili  adventur  fantasi princess  magic  mistake in person  queen  cartoon  music  betray  snowman  reindeer  curs  snow  troll  based on children's book  mountain climb  evil princ  based on fairy tal  aftercreditssting  frozen  woman director  sister sister relationship  relax  magic land  joy,frozen,tt2294629
88,374720,Dunkirk,war  action  drama armi  beach  franc  alli  military offic  world war ii  evacu  pilot  british armi  rescue miss  europ  based on true stori  royal navi  surviv  historical fict  soldier  privat  militari  dunkirk  1940  royal air forc  raf,dunkirk,tt5013056
89,269149,Zootopia,anim  adventur  famili  comedi sheep  allegori  lion  hippopotamu  cartoon  bulli  polar bear  con artist  anthropomorph  reveng  conspiraci  urban  female protagonist  rookie cop  missing person  racial prejudic  injustic  reconcili  buddy cop  stereotyp  cartoon rabbit  discrimin  cartoon bear  cartoon anim  cartoon fox  cartoon eleph,zootopia,tt2948356
90,240832,Lucy,action  science fict artificial intelligence (a.i.)  telepathi  intellig  drug mul  telekinesi  futurist  drug  super pow  tough girl  surgeri  brain capac  synthetic drug  human brain  amus,lucy,tt2872732
91,329,Jurassic Park,adventur  science fict exotic island  island  triceratop  brontosauru  electric f  dna  tyrannosaurus rex  paleontolog  dinosaur  amusement park  theme park,jurassic park,tt0107290
92,274,The Silence of the Lambs,crime  drama  thriller based on novel or book  kidnap  psychopath  fbi  murder  serial kil  psychological thril  brutal  cannib  moth  virginia  neo-noir,the silence of the lambs,tt0102926
93,129,Spirited Away,anim  famili  fantasi witch  parent child relationship  dark  bath hous  magic  spirit  parallel world  amusement park  youkai  japanese mytholog  anim,spirited away,tt0245429
94,321612,Beauty and the Beast,famili  fantasi  romanc franc  magic  fairy tal  transform  cartoon  castl  music  remak  curs  creatur  18th centuri  beast  live action and anim  live action remak,beauty and the beast,tt2771200
95,58,Pirates of the Caribbean: Dead Man's Chest,adventur  fantasi  action witch  daughter  ship  east india compani  exotic island  bondag  monster  captain  fortune tel  compass  sword fight  pirat  cannib  swashbuckl  kraken  aftercreditssting  based on theme park rid,pirates of the caribbean dead mans chest,tt0383574
96,177572,Big Hero 6,adventur  famili  anim  action  comedi friendship  martial art  hero  sibling relationship  san francisco  california  superhero  talent  cartoon  based on com  reveng  tokyo  japan  best friend  another dimens  robot  east asian lead  boy geniu  aftercreditssting  moral dilemma  teen superhero  dead broth,big hero 6,tt2245084
97,131631,The Hunger Games: Mockingjay - Part 1,science fict  adventur  thriller based on novel or book  resist  dystopia  post-apocalyptic futur  sequel  female protagonist  bow and arrow  game  future war  revolt  class prejudic  human subjug  based on young adult novel,the hunger games mockingjay  part 1,tt1951265
98,335983,Venom,science fict  action spacecraft  san francisco  california  superhero  anti hero  alien life-form  based on com  aftercreditssting  duringcreditssting  business tycoon  symbiot  genetic experi,venom,tt1270797
99,1124,The Prestige,drama  mysteri  science fict dying and death  suicid  class societi  magic  competit  obsess  hostil  class  diari  twist  trick  illus  rivalri  partner  steampunk  cruelti  hang  jail cel  19th centuri  nikola tesla  magician  tesla coil  bittersweet  secret  london  mind-blow  depress,the prestige,tt0482571
100,6479,I Am Legend,drama  science fict  thriller new york c  saving the world  based on novel or book  dystopia  post-apocalyptic futur  lost civilis  infect  matter of life and death  alon  helpless  loneli  zombi  viru  pandem  pet,i am legend,tt0480249
101,857,Saving Private Ryan,drama  histori  war epic  armi  airplan  self sacrific  war veteran  war crim  war ship  braveri  world war ii  normandi  franc  parachut  troop  waffen ss  omaha beach  rescue miss  war memori  cowardic  deserted town  based on true stori  d-day  soldier  death  militari  military oper  1940,saving private ryan,tt0120815
102,299537,Captain Marvel,action  adventur  science fict superhero  based on com  alien invas  super pow  female hero  aftercreditssting  duringcreditssting  marvel cinematic universe (mcu)  woman director  hero's journey  1990  alien technolog,captain marvel,tt4154664
103,339403,Baby Driver,action  crime robberi  waitress  atlanta  crime boss  romanc  heist  getaway car  on the run  shootout  bank robberi  getaway driv  sign languag  armed robberi  hearing impair,baby driver,tt3890160
104,424,Schindler's List,drama  histori  war factori  hero  based on novel or book  nazi  concentration camp  ss (nazi schutzstaffel)  holocaust (shoah)  world war ii  ghetto  jew persecut  kraków  poland  defense industri  auschwitz-birkenau concentration camp  biographi  based on true stori  industrialist  historical fict  black and whit  train  poland  weapons manufactur  absurd,schindlers list,tt0108052
